tache,index,prefix,ids,textes
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_1937 SMPA-AB-03_rs_1938 SMPA-AB-03_rs_1939,"Issy, aujourd’hui Issy-les-Moulineaux, Hauts-de-Seine, arr. de Nanterre, Issi, Yssi, Yssy, Yssiacum, Saint-Magloire, tome III, acte 106 chapelle Saint || Issy, seigneurie de Saint-Magloire, Saint-Magloire, tome III, acte 1, Saint-Magloire, tome III, acte 31, Saint-Magloire, tome III, acte 13, Saint-Magl || Issy, seigneurie de Saint-Germain-des-Prés. Saint-Magloire, tome III, acte 1, Saint-Magloire, tome III, acte 10, Saint-Magloire, tome III, acte 11, Sa"
3,LIEUX,NDCH-EG,NDCH-EG_rs_1075 NDCH-EG_rs_1076,"Laudunum; Laudun; Loun, Notre-Dame de Chartres, acte 69; Notre-Dame de Chartres, acte 385, Notre-Dame de Chartres, acte 386 . Laons, chef-lieu de comm || Laudunum, Notre-Dame de Chartres, acte 14, Notre-Dame de Chartres, acte 386; Notre-Dame de Chartres, acte 287. Laon, chef-lieu du département de l'Ais"
3,LIEUX,NDPA-EG-04,NDPA-EG-04_rs_4082 NDPA-EG-04_rs_4086,"Loriacum. Vide Lorriacum. || Loriacum. Notre-Dame de Paris, t. 1, acte 392."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2176 SMPA-AB-03_rs_2177,"Machault, Seine-et-Marne, arr. de Melun, cant. du Châtelet-en-Brie, [dans son étendue antérieure à 1906, c’est-à-dire avant l’érection de Pamfou en co || Machault, chemins; chemin de Machault à la Fauconnière et à Bailly, Saint-Magloire, tome III, acte 64, note 5 chemin de Machault à Montereau, note 2"
3,LIEUX,NDPA-EG-04,NDPA-EG-04_rs_4240 NDPA-EG-04_rs_4374,"Malliacum. Vide Marliacum. || Malliacum. Notre-Dame de Paris, t. 3, acte 75, Notre-Dame de Paris, t. 3, acte 149."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2278 SMPA-AB-03_rs_2279,"Mareil, aujourd’hui Mareil-le-Guyon, Yvelines, arr. de Rambouillet, cant. de Montfort-l’Amaury, Mareul, Marolio, Marueil, Marueil soubz Montfort l’Ama || Mareil (chemin de), à Saint-Germain, aujourd’hui rue Sainte-Radegonde, à Saint-Germain-en-Laye, Saint-Magloire, tome III, acte 178, note 3."
3,LIEUX,NDCH-EG,NDCH-EG_rs_1244 NDCH-EG_rs_1246,"Merroliæ; Maerolæ; Mairoliæ; Meroliæ, Notre-Dame de Chartres, acte 71; Notre-Dame de Chartres, acte 214 . Marolles, hameau, commune de Gas, canton de  || Merroliæ, Notre-Dame de Chartres, acte 71. Marolles, hameau, commune de Saint-Laurent-des-Bois, canton de Marchenoir, arrondissement de Blois (Loir-et"
3,LIEUX,NDCH-EG,NDCH-EG_rs_1294 NDCH-EG_rs_1295,"Mondonvilla; Mondovilla; Mundunvilla, Notre-Dame de Chartres, acte 47, Notre-Dame de Chartres, acte 69; Notre-Dame de Chartres, acte 385, Notre-Dame d || Mondonvilla, Notre-Dame de Chartres, acte 355 . Mondonville-Sainte-Barbe, hameau, communes de Moutiers et de Prasville, canton de Voves, arrondissemen"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2501 SMPA-AB-03_rs_2502 SMPA-AB-03_rs_2503,"Montmartre (fief sous), devenu plus tard le Clos aux Halliers, voir ce terme. || Montmartre (porte de) , Saint-Magloire, tome III, acte 287 note 2, note 4 . || Montmartre (grand chemin de), Saint-Magloire, tome III, acte 287, note 2."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2529 SMPA-AB-03_rs_2530,"Morsang-sur-Orge, Essonne, arr. d’Evry, cant. de Viry-Châtillon, Morcent, Morsanc, Morsant, Morsent-sur-Ourge, Murcentum, Muttentum, Saint-Magloire, t || Morsang-sur-Orge, Seigneurie de Saint-Magloire, Saint-Magloire, tome III, acte 120 note 2, Saint-Magloire, tome III, acte 229, Saint-Magloire, tome II"
3,LIEUX,HDPAR-HD,HDPAR-HD_rs_4597 HDPAR-HD_rs_4598,"Noisiacum . || Noisiacum . — Noisy-le-Petit : Seine-et-Oise, arr. Corbeil, cant. Boissy-Saint-Léger, comm. Vigneux."
3,LIEUX,SAPC-AB,SAPC-AB_rs_0851 SAPC-AB_rs_0860,"Parisiensis archidiacre: archidiaconus, Saint-Antoine-des-Champs, acte 58, Saint-Antoine-des-Champs, acte 115, Saint-Antoine-des-Champs, acte 153, Sai || Parisiensis rues, quartiers et lieux-dits: Andrui Malet, rue André Malet; Avenaria, Avoinerie, Saint-Antoine-des-Champs, acte 42, Saint-Antoine-des-Ch"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2902 SMPA-AB-03_rs_2903,"Plat d’Étain ou Plateau d’Étain (maison du), puis du Heaume de Bretagne, rue de Hueleu, Plat d’Estain, Plasteau d’Estaing, Saint-Magloire, tome III, a || Plat d’Étain (maison du), rue aux Ours, Plat d’Estain , Saint-Magloire, tome III, acte 24 note 1 n. dors."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_2982 SMPA-AB-03_rs_2983,"Pot d’Étain (maison du), rue de la Montagne Sainte-Geneviève, Pot d’Estain, Saint-Magloire, tome III, acte 105, Saint-Magloire, tome III, acte 110, Sa || Pot d’Étain (maison du), rue aux Ours, Post d’Estain, Saint-Magloire, tome III, acte 137, n. dors., note 1."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3078 SMPA-AB-03_rs_3079,"Rambouillet (forêt domaniale de), anciennement forêt d’Yveline, Iveline, Uvelinne, Yveline, Yvelline, Aquilina, Saint-Magloire, tome III, acte 52, not || Rambouillet, gruerie, Saint-Magloire, tome III, acte 248 note 3, Saint-Magloire, tome III, acte 266, note 1"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3165 SMPA-AB-03_rs_3166,"Rose (maison de la), rue Saint-Denis, maison que l’an souloit dire de la Roze, la Roze Rouge , Saint-Magloire, tome III, acte 140 , n. dors. || Rose (maison de la), rue Troussevache, Saint-Magloire, tome III, acte 141, note 1."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3273 SMPA-AB-03_rs_3274,"Saint-Blaise (rue), à Charonne, aujourd’hui Paris, 20e arr., Saint-Magloire, tome III, acte 265, note 2. || Saint-Blaise (place), à Charonne, aujourd’hui Paris, 20e arr., Saint-Magloire, tome III, acte 265, note 1."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3281 SMPA-AB-03_rs_3282 SMPA-AB-03_rs_3283 SMPA-AB-03_rs_3284 SMPA-AB-03_rs_3285 SMPA-AB-03_rs_3287,"Saint-Denis (bastide de), de l’enceinte de Charles V, à Paris, Saint-Magloire, tome III, acte 135, Saint-Magloire, tome III, acte 287, Saint-Magloire, || Saint-Denis (chaussée), aujourd’hui rue du Faubourg Saint-Denis, Paris, 10e arr., chaucee de la grant rue Saint Denis, chaucee de Saint Denis ou Saint || Saint-Denis (ponceau), à la hauteur de la rue du Ponceau, Paris, 2e arr., Saint-Magloire, tome III, acte 59, note 2, Saint-Magloire, tome III, acte 21 || Saint-Denis (porte), ancienne porte de l’enceinte de Philippe-Auguste, dite aussi porte aux Peintres, porte Saint Denis, Saint Denys, premiere porte,  || Saint-Denis (rue), Paris, 1er et 2e arr., grant rue Saint Denis, Saint Denys, rue Saint Denis, Saint Denys, Sainct Denys, Grant rue, magno vico Sancti || Saint-Denis, maisons ou hôtels, Ardoise, Armes (puis Écu de Bourgogne puis Lion d’Or), Château de Pontoise, Chef Saint Louis, Cheval Rouge, Clef, Coq "
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3310 SMPA-AB-03_rs_3312,"Saint-Germain-des-Prés, Paris, 6e arr., Saint Germain de Pres, Saint Germain des Pres, des Prez, Sancti Germani de Pratis, villa Sancti Germani. || Saint-Germain-des-Prés, Bourg Saint-Germain, Saint-Magloire, tome III, acte 1, note 2, note 3"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3316 SMPA-AB-03_rs_3317,"Saint-Hilaire (église), à Sens, Saint-Magloire, tome III, acte 259, note 2. || Saint-Hilaire (rue), aujourd’hui rue des Carmes, Paris, 5e arr., Saint-Magloire, tome III, acte 44, note."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3399 SMPA-AB-03_rs_3400 SMPA-AB-03_rs_3401,"Saint-Martin (bastide ou porte), de l’enceinte de Charles V, bastide Saint Martin des Champs, Saint-Magloire, tome III, acte 273, Saint-Magloire, tome || Saint-Martin (chaussée), au-delà de la bastide, aujourd’hui rue du Faubourg Saint-Martin, Paris, 10e arr. , Saint-Magloire, tome III, acte 89 , Saint- || Saint-Martin (porte), de l’enceinte de Philippe Auguste, Saint-Magloire, tome III, acte 206, note 3 , Saint-Magloire, tome III, acte 202 , n. dors., S"
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3818 SMPA-AB-03_rs_3819,"Vieille Pelleterie (rue de la), plus tard rue de la Pelleterie, autrefois dans la Cité, Vielle Peleterye, Vielle Pelleterie, Vielz Peleterie, Viex Pel || Vieille Pelleterie (moulins de la), sur la Seine, Saint-Magloire, tome III, acte 294, Saint-Magloire, tome III, acte 304."
3,LIEUX,SMPA-AB-03,SMPA-AB-03_rs_3846 SMPA-AB-03_rs_3847,"Villemoisson, aujourd’hui Villemoisson-sur-Orge, Essonne, arr. de Palaiseau, cant. de Sainte-Geneviève-des-Bois, Villemoison, Saint-Magloire, tome III || Villemoisson (chemin de), aujourd’hui rue Marceau, Saint-Magloire, tome III, acte 152, note 2."
3,LIEUX,HDPAR-HD,HDPAR-HD_rs_7161 HDPAR-HD_rs_7163,Yvriacum . — Yvri . || Yvriacum .
2,LIEU→PERS,,SSCO-AB_rs_586,"La Norville, La Norville (Seine-et-Oise, canton d'Arpajon), Marguareta de la Norville, vidua"
2,PERS→LIEU,,SAPC-AB_rs_1597,"Rex: (roi, censive ou fief du roi de France)"
2,PERS→LIEU,,SLES-PR_rs_0556,"Déluge (Oise), Gautier du. fils d'Eufémie"
2,PERS→LIEU,,SLES-PR_rs_1322,Ramerupt (Aube). Gui fils de Garnier de
2,PERS→LIEU,,SMPA-AB-01_rs_0741,"Fécamp (abbaye de la Sainte Trinité de), O.S.B., Seine-Maritime, arrondissement du Havre, abbé, abbas Fiscannensis,"
2,PERS→LIEU,,SMPA-AB-01_rs_0974,"Grandchamp (abbaye Notre-Dame de), Prém., Yvelines, arrondissement de Mantes-la-Jolie, canton de Houdan, abbas et conventus Grandis Campi,"
2,PERS→LIEU,,SMPA-AB-01_rs_1120,"Hérivaux (abbaye Notre-Dame d’), Aug., Val d’Oise, arrondissement de Montmorency, abbé, Herivallis abbas,"
2,PERS→LIEU,,SMPA-AB-01_rs_2128,"Saint-Antoine (abbaye de), O.C., aujourd’hui hôpital Saint-Antoine, 12earrondissement de Paris, abbatissa et conventus Sancti Anthonii juxta Parisius, Saint Anthoine,"
2,PERS→LIEU,,SMPA-AB-01_rs_2236,"Saint-Rémy-lés-Chevreuse (?), Yvelines, arrondissement de Rambouillet, canton de Chevreuse, Sanctus Remigius; — presbiter,"
2,PERS→LIEU,,SMPA-AB-01_rs_2520,"Vaux-de-Cernay (abbaye Notre-Dame des), O.C., Yvelines, arrondissement de Rambouillet, canton de Chevreuse, commune de Cernay-la-Ville, Vallium Sarnaii abbas et conventus,"
2,PERS→LIEU,,SMPA-AB-02_rs_0535,Calido Moncello (domina de); sa censive
2,PERS→LIEU,,SMPA-AB-02_rs_1912,"Marcheboe (Nicolas), Nicolaus Marcheboe; sa censive et celle d’Aveline, veuve d’Adam le Roux"
2,PERS→LIEU,,SSCO-AB_rs_901,"Videles (Theobaldus de, presbiter), Videlles (Seine-et-Oise, canton de la Ferté-Alais)"
