tache,index,prefix,ids,textes
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1166 SMPA-AB-03_rs_1167,"Culdoe (Jean), Saint-Magloire, tome III, acte 130, note 1; — sa femme, fille de Gilles Féret, note 1. || Culdoe (Jean), le jeune, bourgeois de Paris, Jehan Culdoe le joine, Saint-Magloire, tome III, acte 251."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1178 SMPA-AB-03_rs_1179,"Dammartin (Jean de), Johannes de Donno Martino , Saint-Magloire, tome III, acte 16 . || Dammartin (Jean de), maître et gouverneur de la confrérie Saint-Jacques, Saint-Magloire, tome III, acte 157, note 1."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1244 SMPA-AB-03_rs_1245,"Dormans (Guillaume de), avocat au Parlement, conseiller de Saint-Magloire, chancelier de France, Guillelmus de Dormano , Saint-Magloire, tome III, act || Dormans (Guillaume de), archevêque de Sens"
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0290 SAPC-AB_rs_0292,"Droco: Saint-Antoine-des-Champs, acte 10, Saint-Antoine-des-Champs, acte 39; v. Agnes de Cresunessart, mater ejus. || Droco: Saint-Antoine-des-Champs, acte 360; v. Isabellis, domina Belli Montis, mater ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1260 SMPA-AB-03_rs_1261,"Drouart (Vincent), Saint-Magloire, tome III, acte 73. || Drouart (Vincent), Saint-Magloire, tome III, acte 170, n. dors., Saint-Magloire, tome III, acte 202, n. dors."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0302 SAPC-AB_rs_0303,"Edelina: Saint-Antoine-des-Champs, acte 213; v. Gerinus, cognatus ejus. || Edelina: Saint-Antoine-des-Champs, acte 21; v. Petrus Thiboldus, maritus ejus."
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0313 SAPC-AB_rs_0314 SAPC-AB_rs_0315 SAPC-AB_rs_0316 SAPC-AB_rs_0318,"Emelina: Saint-Antoine-des-Champs, acte 76, Saint-Antoine-des-Champs, acte 77; v. Aalermus Hecelini, maritus ejus. || Emelina: Saint-Antoine-des-Champs, acte 274; v. Galcherus de Atrio, maritus ejus. || Emelina: Saint-Antoine-des-Champs, acte 372; v. Guillelmus de Ulmo, maritus ejus. || Emelina: Saint-Antoine-des-Champs, acte 75; v. Jobertus Tortus, maritus ejus. || Emelina: Saint-Antoine-des-Champs, acte 302; v. Hemericus Tute, maritus ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1338 SMPA-AB-03_rs_1339,"Essarts (Pierre des), frère d’Antoine des Essarts, prévôt de Paris, Saint-Magloire, tome III, acte 363, note, Saint-Magloire, tome III, acte 373. || Essarts (Pierre des), chapelain du château royal et garde du scel de la prévôté de Melun, Pierre des Essars, Saint-Magloire, tome III, acte 63, Saint-"
3,PERSONNES,SAPC-AB,SAPC-AB_rs_0338 SAPC-AB_rs_0339,"Eva: Saint-Antoine-des-Champs, acte 365 ; v. Ricaudis dou Perier, mater ejus, Droco de Chars in Vulcasino, maritus ejus. || Eva: Saint-Antoine-des-Champs, acte 209; v. Garnerus de Monteigni, maritus ejus."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1364 SMPA-AB-03_rs_1365,"Évrart (Jean), receveur du comté de Montfort, Saint-Magloire, tome III, acte 71, note. || Évrart (Jean), boucher de Saint-Marcel, Saint-Magloire, tome III, acte 153, note 7"
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_1920 HDPAR-HD_rs_1921 HDPAR-HD_rs_1922,Faber (Johannes) . || Faber (Johannes) . || Faber (Johannes) .
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1419 SMPA-AB-03_rs_1424 SMPA-AB-03_rs_1426,"Fèvre (messire Jean le), prêtre, chapelain de la chapelle Saint-Didier de l’église Saint-Josse, Jehan Le Fevre, Saint-Magloire, tome III, acte 175. || Fèvre (maître Pierre le), conseiller au Parlement , Saint-Magloire, tome III, acte 353 note 3 . || Fèvre (maître Robert le), prêtre, chanoine du Saint-Sépulcre, Saint-Magloire, tome III, acte 132 ; — Fevre (Guillaume le), son frère ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1415 SMPA-AB-03_rs_1416,"Fevre (Guillaume le), d’Issy, Saint-Magloire, tome III, acte 14. || Fevre (Guillaume le), Guillelmus Fabri, sergent à cheval du Châtelet, Saint-Magloire, tome III, acte 270, Saint-Magloire, tome III, acte 307."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1417 SMPA-AB-03_rs_1418,"Fèvre (Guillaume le), épicier, bourgeois de Paris , Saint-Magloire, tome III, acte 124 , Saint-Magloire, tome III, acte 127, note 1, Saint-Magloire, t || Fèvre (Guillaume le), poissonnier de mer, bourgeois de Paris , Saint-Magloire, tome III, acte 207 ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1421 SMPA-AB-03_rs_1422,"Fèvre (Mathieu le), boucher de Sainte-Geneviève, Saint-Magloire, tome III, acte 153. || Fèvre (Mathieu le), maréchal, Mahy le Fevre , Saint-Magloire, tome III, acte 207, Saint-Magloire, tome III, acte 209 ; — Marie, sa femme ."
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1479 SMPA-AB-03_rs_1480,"Fontenay, auj. Fontenay-sous-Bois, Valde Marne, arr. de Sceaux, cant. de Vincennes || Fontenay (maître Jean de), notaire au Châtelet, J. de Fontenay, Saint-Magloire, tome III, acte 238, Saint-Magloire, tome III, acte 240, Saint-Magloire"
3,PERSONNES,SMPA-AB-03,SMPA-AB-03_rs_1511 SMPA-AB-03_rs_1513,"Fournier, Fornier (Colin le) , Saint-Magloire, tome III, acte 31 . || Fournier (Jean, Jehan le), dit Nez Véreux, Saint-Magloire, tome III, acte 273, note 1."
3,PERSONNES,SMPO-AB,SMPO-AB_rs_0471 SMPO-AB_rs_0472,Galon de Chaumont . || Galon de Chaumont .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2142 HDPAR-HD_rs_2143 HDPAR-HD_rs_2144,Galterus Anglicus . || Galterus Anglicus . || Galterus Anglicus .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2270 HDPAR-HD_rs_2271,Gaufridus de Vere Magno . || Gaufridus de Vere Magno .
3,PERSONNES,SMPO-AB,SMPO-AB_rs_0542 SMPO-AB_rs_0543,Gautier de Cléry . || Gautier de Cléry .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2568 HDPAR-HD_rs_2569,Guido de Petra Lata . || Guido de Petra Lata .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2593 HDPAR-HD_rs_2594,Guillelmus . || Guillelmus .
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2596 HDPAR-HD_rs_2597,"Guillelmus, archidiaconus in ecclesia Parisiensi . || Guillelmus, archidiaconus in ecclesia Parisiensi ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2607 HDPAR-HD_rs_2608,"Guillelmus, episcopus Parisiensis . || Guillelmus, episcopus Parisiensis ."
3,PERSONNES,HDPAR-HD,HDPAR-HD_rs_2671 HDPAR-HD_rs_2672,Guillelmus de Cruce . || Guillelmus de Cruce .
